时间,车型,车名,厂商指导价格范围,月降价幅度,全国月关注,评分,全国月销量,质保,环保标准,油耗,燃油标号
2024年4月,中大型车,Taycan,89.80-199.80万,18.28万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,奔驰EQE,47.80-53.43万,18.02万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,奔驰EQE AMG,86.20万,15.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,宝马6系GT,59.09-69.99万,15.50万,,4.51分,0,质保：三年或10万公里,环保标准：国VI，欧V,5,8
2024年4月,中大型车,奥迪A7,58.98-78.88万,14.81万,171845,4.59分,0,质保：三年或10万公里，两年不限公里,环保标准：国V，国VI，国IV，欧VI,5,8
2024年4月,中大型车,奥迪RS 7,146.88万,14.59万,76093,,0,质保：三年或10万公里,环保标准：欧V，国VI,6,11
2024年4月,中大型车,沃尔沃S90新能源,49.99-61.39万,14.40万,,4.81分,0,质保：三年不限公里,环保标准：国VI，国V,2,8
2024年4月,中大型车,奥迪A6L,42.79-65.68万,14.35万,725596,4.56分,0,质保：三年或10万公里，两年不限公里，2年或不限里程，2年或6万公里,环保标准：国V，欧IV，国VI，国IV(国V)，欧IV+OBD,5,9
2024年4月,中大型车,奔驰E级,44.01-59.98万,13.85万,537081,4.44分,0,质保：三年不限公里，2年或不限里程,环保标准：欧V，国VI，欧IV,5,8
2024年4月,中大型车,奔驰E级新能源,52.23万,13.58万,,,0,质保：三年不限公里,环保标准：国VI,2,8
2024年4月,中大型车,奥迪A6(进口),46.08-63.78万,13.29万,92311,4.48分,0,质保：三年或10万公里，2年或不限里程，两年或6万公里,环保标准：国V，国VI，欧IV，欧III，国IV(国V),5,10
2024年4月,中大型车,奥迪A6L新能源,50.80万,13.00万,,,0,质保：三年或10万公里,环保标准：国V，国VI,3,8
2024年4月,中大型车,奥迪S6,85.88万,12.77万,25848,,0,质保：三年或10万公里,环保标准：国VI，欧V,5,8
2024年4月,中大型车,宝马5系,43.65-56.25万,12.40万,1251864,4.47分,0,质保：三年或10万公里，两年不限公里，2年或不限里程,环保标准：国VI，国IV(国V)，欧IV，国V，欧III,4,8
2024年4月,中大型车,宝马5系新能源,50.95-54.65万,12.03万,,4.53分,0,质保：三年或10万公里,环保标准：国VI，国V，国IV(国V),2,8
2024年4月,中大型车,奔驰CLS,57.70-78.40万,11.90万,88419,4.16分,0,质保：三年不限公里，两年不限公里，2年或不限里程,环保标准：欧V，欧IV，国VI,5,8
2024年4月,中大型车,奔驰E级(进口),44.82-66.40万,11.90万,124556,4.42分,0,质保：三年不限公里，两年不限公里,环保标准：国VI，欧V，欧IV,4,8
2024年4月,中大型车,沃尔沃V90,39.18-49.28万,11.80万,13281,4.51分,0,质保：三年不限公里,环保标准：国VI，国V,5,8
2024年4月,中大型车,宝马5系(进口),43.39-52.99万,10.50万,116655,4.49分,0,质保：三年或10万公里，2年或不限里程，五年或10万公里，两年不限公里，3年或10万公里,环保标准：国VI，国IV(国V)，国V，欧IV，欧V，国IV+OBD,4,8
2024年4月,中大型车,奥迪S7,103.28-108.08万,10.23万,30648,,0,质保：三年或10万公里,环保标准：国VI，欧V,5,8
2024年4月,中大型车,沃尔沃S90,40.69-50.59万,10.00万,232979,4.65分,0,质保：三年不限公里,环保标准：国VI，国V,4,8
2024年4月,中大型车,奥迪e-tron GT,99.98万,10.00万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,辉昂,34.30-44.90万,9.90万,345254,4.67分,0,质保：三年或10万公里,环保标准：国V，国VI,5,8
2024年4月,中大型车,红旗H9,30.98-86.00万,7.90万,,4.7分,0,质保：四年或10万公里,环保标准：国VI,5,8
2024年4月,中大型车,奥迪A7L,41.87-69.97万,7.90万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,中大型车,哪吒S,15.48-34.18万,5.20万,,,0,质保：四年或12万公里,环保标准：国VI,0,2
2024年4月,中大型车,雷克萨斯ES,29.69-48.89万,4.90万,272782,4.57分,0,质保：四年或10万公里，六年或15万公里,环保标准：欧IV，国VI，国V,4,6
2024年4月,中大型车,凯迪拉克CT6,35.97-46.97万,4.50万,215178,4.67分,0,质保：三年不限公里,环保标准：国V，国VI,5,8
2024年4月,中大型车,皇冠(进口),29.90-42.90万,3.90万,19829,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,中大型车,传祺GA8,15.68-22.68万,3.80万,185892,4.76分,0,质保：五年或15万公里，四年或10万公里,环保标准：国VI，国V,5,10
2024年4月,中大型车,极氪001,26.90-76.90万,3.60万,,4.7分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,汉,16.98-29.98万,3.50万,,4.84分,0,质保：六年或15万公里,环保标准：国VI,2,2
2024年4月,中大型车,极狐 阿尔法S(ARCFOX αS),18.98-35.63万,3.40万,,4.8分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,飞凡F7,18.99-30.99万,1.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,红旗H7,25.28-28.88万,1.43万,153761,4.52分,0,质保：四年或10万公里,环保标准：国IV(国V)，国V，国VI,5,10
2024年4月,豪华车,奥迪A8,81.18-207.68万,52.68万,398382,4.59分,0,质保：三年或10万公里，两年或6万公里，两年不限公里，2年或6万公里,环保标准：国VI，欧IV，国IV(国V)，国IV，欧IV+OBD，国V,5,8
2024年4月,豪华车,奔驰S级,94.72-204.26万,49.90万,1573,4.46分,0,质保：2年或不限里程，三年不限公里，两年不限公里,环保标准：欧V，欧IV，国VI，国V,6,11
2024年4月,豪华车,总裁,141.75-171.08万,44.90万,191275,,0,质保：三年不限公里，两年不限公里，4年或5万公里，3年或不限里程,环保标准：国VI，国V，欧IV，欧III,6,8
2024年4月,豪华车,宝马i7,94.90-189.90万,37.80万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,豪华车,宝马7系,91.90-139.80万,29.90万,475160,4.56分,0,质保：三年或10万公里，两年不限公里,环保标准：国VI，欧IV，欧VI，欧IV+OBD，欧V，欧III,5,10
2024年4月,豪华车,奔驰EQS,88.10-133.90万,29.50万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,豪华车,宝马8系,97.80-336.60万,26.48万,5307,,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,豪华车,Panamera,99.80-247.60万,22.18万,452983,4.4分,0,质保：三年或10万公里，3年或不限里程，2年或不限里程,环保标准：国VI，欧V，欧IV,5,8
2024年4月,豪华车,奥迪S8,207.68万,20.77万,49724,,0,质保：三年或10万公里，两年或6万公里，两年不限公里,环保标准：国VI，欧IV，欧V,6,8
2024年4月,豪华车,飞驰,273.80-377.40万,17.40万,78668,,0,质保：三年不限公里,环保标准：国VI，欧V，欧IV，欧VI,6,11
2024年4月,豪华车,飞驰插电混动,248.00-333.70万,15.40万,,,0,质保：三年不限公里,环保标准：国VI,0,12
2024年4月,豪华车,宝马M8,198.80-221.80万,10.90万,,,0,质保：三年或10万公里,环保标准：国VI,6,8
2024年4月,豪华车,迈巴赫S级,146.80-364.10万,10.14万,232351,4.53分,0,质保：三年不限公里,环保标准：欧V，国VI,6,8
2024年4月,豪华车,雷克萨斯LS,87.80-120.00万,9.90万,77558,4.6分,0,质保：六年或15万公里，四年或10万公里，两年或6万公里,环保标准：欧IV，国VI，国V，欧III,5,8
2024年4月,豪华车,奔驰S级新能源,126.77-130.83万,8.90万,,,0,质保：三年不限公里,环保标准：国VI，欧V,3,8
2024年4月,豪华车,Panamera新能源,119.30-250.10万,7.90万,,4.54分,0,质保：三年或10万公里,环保标准：国VI，欧V,3,8
2024年4月,豪华车,奔驰EQS AMG,156.60万,2.32万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,跑车,欧陆,292.50-414.20万,34.80万,125182,,0,质保：三年不限公里，2年或6万公里,环保标准：国VI，欧VI，欧V，欧IV,6,11
2024年4月,跑车,奥迪R8,232.38万,27.79万,90837,,0,质保：三年或10万公里，两年不限公里,环保标准：国V，国IV(国V)，国VI，欧IV,6,11
2024年4月,跑车,保时捷911,129.80-301.00万,26.99万,169956,4.47分,0,质保：三年或10万公里,环保标准：欧IV，欧V，国VI,6,8
2024年4月,跑车,AMG GT,99.28-229.88万,24.90万,79948,4.49分,0,质保：三年不限公里,环保标准：国VI，欧VI,6,8
2024年4月,跑车,Mustang,36.98-72.50万,11.00万,332187,4.52分,0,质保：三年或10万公里，两年不限公里，待查，3年或4万公里，两年或4万公里,环保标准：国V，欧V，国VI，欧II,5,11
2024年4月,跑车,雷克萨斯LC,115.50-133.60万,9.90万,71879,,0,质保：六年或15万公里,环保标准：国VI，国V,6,8
2024年4月,跑车,捷豹F-TYPE,66.90-69.90万,9.90万,112698,,0,质保：三年或10万公里,环保标准：国VI，欧V,5,8
2024年4月,跑车,SUPRA,49.90-62.90万,5.00万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,跑车,斯巴鲁BRZ,30.88-34.08万,3.68万,69200,4.18分,0,质保：三年或10万公里,环保标准：国VI，国IV(国V)，国V,5,8
2024年4月,跑车,宝马M2,59.90万,2.90万,48827,4.29分,0,质保：三年或10万公里,环保标准：国V，国VI,5,8
2024年4月,跑车,保时捷718,56.50-157.80万,1.43万,294883,4.26分,0,质保：三年或10万公里,环保标准：欧V，国VI,5,8
2024年4月,跑车,哪吒GT,17.88-23.58万,1.04万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,跑车,丰田86,33.86-35.86万,0.50万,144988,,0,质保：三年或10万公里,环保标准：国IV(国V)，国VI，国V,5,8
2024年4月,小型SUV,丰田C-HR EV,22.58-24.98万,9.18万,,4.78分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,奥迪Q2L e-tron,24.38万,9.10万,,4.58分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,奥迪Q2L,22.28-26.10万,9.04万,,4.52分,0,质保：三年或10万公里,环保标准：国VI，国V,4,8
2024年4月,小型SUV,奕泽E进擎,22.58-25.38万,8.00万,,4.78分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,启辰T60EV,16.38-18.98万,6.90万,,4.81分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,本田e:NS1,17.50-21.80万,6.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,e:NP1 极湃1,17.50-21.80万,6.70万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,本田XR-V,11.99-15.29万,5.65万,1002781,4.11分,0,质保：三年或10万公里,环保标准：国V，国VI，国IV(国V),4,2
2024年4月,小型SUV,广汽本田VE-1,15.98-18.68万,4.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,探影,11.59-16.09万,4.80万,,4.48分,0,质保：三年或10万公里，五年或15万公里,环保标准：国VI,4,10
2024年4月,小型SUV,昂科拉,12.59-13.59万,4.20万,143958,4.68分,0,质保：三年或10万公里，3年或10万公里,环保标准：国V，国VI,4,2
2024年4月,小型SUV,途铠,11.59-16.19万,4.20万,,4.66分,0,质保：三年或10万公里,环保标准：国VI,4,6
2024年4月,小型SUV,奕泽IZOA,14.98-18.98万,3.90万,,4.78分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,雪铁龙C3-XR,11.39万,3.31万,184972,4.71分,0,质保：三年或10万公里,环保标准：国IV(国V)，国V，国IV/国V，国VI,4,5
2024年4月,小型SUV,创酷,10.99-12.89万,3.30万,112321,4.75分,0,质保：三年或10万公里，3年或10万公里,环保标准：国V，国VI,4,2
2024年4月,小型SUV,丰田C-HR,15.28-19.28万,3.20万,,4.69分,0,质保：三年或10万公里,环保标准：国V，国VI,4,2
2024年4月,小型SUV,启辰T60,8.68-11.28万,3.18万,,4.77分,0,质保：三年或10万公里,环保标准：国V，国VI,4,2
2024年4月,小型SUV,北京现代ix25,10.58-13.68万,3.00万,165362,4.57分,0,质保：三年或10万公里，五年或10万公里,环保标准：国VI，国IV(国V)，国V,4,2
2024年4月,小型SUV,缤智,11.99-13.99万,2.90万,530647,4.38分,0,质保：三年或10万公里,环保标准：国VI，国V，国IV(国V),4,2
2024年4月,小型SUV,北京EX3,11.99-16.39万,2.90万,,4.61分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,东风本田M-NV,14.98-15.98万,2.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,宝骏510,5.38-8.08万,2.58万,1808520,4.27分,0,质保：三年或6万公里,环保标准：国V，国VI,4,2
2024年4月,小型SUV,KX3傲跑,10.88-13.68万,2.58万,93402,4.74分,0,质保：三年或10万公里,环保标准：国V，国IV(国V)，国VI,4,2
2024年4月,小型SUV,吉利ICON,10.99-12.99万,2.10万,,4.82分,0,质保：四年或10万公里,环保标准：国VI,4,2
2024年4月,小型SUV,马自达CX-30,12.99-19.99万,1.90万,,4.81分,0,质保：三年或10万公里,环保标准：国VI,4,6
2024年4月,小型SUV,马自达CX-30 EV,15.98-20.18万,1.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,长安CS15,6.19-7.69万,1.90万,309329,4.69分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,微蓝7,19.78-21.78万,1.80万,,4.85分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,长安CS35PLUS,7.19-9.99万,1.50万,,4.39分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,名爵ZS,8.58-9.98万,1.43万,570042,4.73分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,领克06,11.86-13.98万,1.43万,,4.69分,0,质保：四年或10万公里,环保标准：国VI,4,2
2024年4月,小型SUV,哪吒V,7.39-10.38万,1.43万,,4.72分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,瑞虎5x,6.99-10.19万,1.14万,,4.51分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,启辰e30,7.24-8.54万,1.01万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,标致2008,9.97万,1.00万,66003,4.75分,0,质保：三年或10万公里,环保标准：国V，国VI，国IV(国V),4,2
2024年4月,小型SUV,哪吒AYA,7.38-8.88万,0.95万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,纳米BOX,4.87-7.57万,0.95万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,212,9.28-10.59万,0.95万,78215,,0,质保：三年或6万公里，两年或5万公里,环保标准：国V，国VI，国IV，国IV+OBD,6,0
2024年4月,小型SUV,悦虎,5.68-8.58万,0.95万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,奕跑,6.98-8.38万,0.81万,,4.4分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,缤越,7.58-10.38万,0.80万,,4.45分,0,质保：四年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,荣威RX3,7.58-9.68万,0.80万,,4.7分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,传祺GS3,8.58-11.18万,0.80万,,4.63分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,五菱星驰,5.68-8.68万,0.76万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,小型SUV,元Pro,9.58-11.38万,0.76万,,4.73分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,劲客,8.98-10.38万,0.50万,969208,4.64分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,宝骏悦也,7.98-9.08万,0.30万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,小型SUV,北京X3,5.99-8.79万,0.28万,,4.61分,0,质保：五年或10万公里,环保标准：国V，国VI,4,2
2024年4月,小型SUV,瑞虎3x,4.99-8.49万,0.20万,174926,3.86分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,小型SUV,吉利几何E萤火虫,5.98-8.98万,0.10万,,4.76分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,奔驰EQB,35.20-42.80万,15.33万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,奔驰EQA,32.20万,12.83万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,奥迪Q3 Sportback,28.93-36.53万,12.68万,,4.62分,0,质保：三年或10万公里,环保标准：国VI,4,8
2024年4月,紧凑型SUV,奔驰GLA,28.78-34.48万,11.78万,505380,,0,质保：三年不限公里,环保标准：国V，国VI,4,8
2024年4月,紧凑型SUV,奔驰GLB AMG,44.98-46.37万,11.46万,,,0,质保：三年不限公里,环保标准：国VI,5,8
2024年4月,紧凑型SUV,奔驰GLB,31.19-36.79万,10.90万,,4.6分,0,质保：三年不限公里,环保标准：国VI,4,8
2024年4月,紧凑型SUV,奥迪Q3,27.88-33.59万,10.90万,530456,,0,质保：三年或10万公里,环保标准：国VI，国V，国IV(国V),5,8
2024年4月,紧凑型SUV,宝马X1,28.89-34.99万,10.05万,787160,,0,质保：三年或10万公里，两年不限公里,环保标准：国IV(国V)，国VI，欧IV，国V,5,8
2024年4月,紧凑型SUV,雷克萨斯UX新能源,36.20-38.50万,10.00万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,奔驰GLA AMG,43.98-44.50万,9.98万,25612,,0,质保：三年或10万公里,环保标准：欧V，国VI，国V,5,8
2024年4月,紧凑型SUV,奥迪Q4 e-tron,28.99-36.71万,9.81万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,宝马iX1,29.99-33.99万,9.29万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,皓影新能源,22.59-29.98万,8.70万,,,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型SUV,SWM斯威G01,8.99-26.98万,7.90万,,4.79分,0,质保：三年或6万公里,环保标准：国VI，国V,5,2
2024年4月,紧凑型SUV,捷豹E-PACE,26.38-32.10万,7.90万,,,0,质保：三年或10万公里,环保标准：国V，国VI,5,8
2024年4月,紧凑型SUV,ID.4 X,19.59-28.34万,7.90万,,4.74分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,本田SUV e：Prototype,21.80万,6.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,ID.4 CROZZ,19.39-29.39万,6.75万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,途岳,15.86-21.66万,6.00万,,,0,质保：三年或10万公里,环保标准：国VI，国V,4,8
2024年4月,紧凑型SUV,起亚KX5,16.28-19.18万,6.00万,108094,4.7分,0,质保：五年或10万公里,环保标准：国IV(国V)，国VI,5,2
2024年4月,紧凑型SUV,吉利几何C,14.37-20.78万,5.90万,,4.8分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,雷克萨斯UX,26.78-33.98万,5.90万,,,0,质保：六年或15万公里，四年或10万公里,环保标准：国VI，国V，国V(国VI),4,2
2024年4月,紧凑型SUV,沃尔沃XC40,26.98-35.48万,5.48万,,4.71分,0,质保：三年不限公里，3年或不限里程，三年或不限公里,环保标准：国VI,5,8
2024年4月,紧凑型SUV,拿铁DHT-PHEV,22.90-26.30万,5.40万,,,0,质保：五年或15万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,ZR-V 致在,15.99-22.89万,5.40万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,瑞虎7,7.49-14.99万,5.03万,1071046,,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,紧凑型SUV,欧蓝德,14.68-22.98万,5.00万,645098,4.62分,0,质保：五年或10万公里,环保标准：国V，国VI,5,2
2024年4月,紧凑型SUV,狮铂拓界,17.98-23.78万,4.95万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,紧凑型SUV,皓影,18.59-26.39万,4.90万,,4.62分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,创界,13.99-17.99万,4.90万,,4.8分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,北京EX5,16.99-19.99万,4.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,传祺GS4 COUPE,13.68-14.68万,4.80万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,星途追风,10.99-16.99万,4.70万,,4.7分,0,质保：三年或10万公里,环保标准：国VI,4,6
2024年4月,紧凑型SUV,T-ROC探歌,15.89-17.99万,4.70万,,,0,质保：三年或10万公里,环保标准：国VI，国V,4,8
2024年4月,紧凑型SUV,昂科拉GX,15.59-18.59万,4.70万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,昂扬,15.29-17.89万,4.51万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,紧凑型SUV,奇骏·荣耀,18.93-19.28万,4.50万,,,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,奇骏,17.99-26.29万,4.50万,643322,4.64分,0,质保：三年或10万公里，两年或6万公里,环保标准：国V，国VI，欧IV+OBD，国IV(国V),5,2
2024年4月,紧凑型SUV,哪吒U,11.88-18.58万,4.50万,,4.83分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,RAV4荣放,17.68-26.38万,4.40万,440592,,0,质保：三年或10万公里,环保标准：欧IV，国VI，国IV(国V)，国V,5,10
2024年4月,紧凑型SUV,凯迪拉克GT4,21.97-30.97万,4.40万,,,0,质保：三年不限公里,环保标准：国VI,0,6
2024年4月,紧凑型SUV,MINI COUNTRYMAN,24.98-35.76万,4.25万,31349,4.65分,0,质保：三年或10万公里,环保标准：国V，国VI，欧V，欧IV,5,8
2024年4月,紧凑型SUV,本田HR-V,15.99-22.89万,4.10万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,紧凑型SUV,本田CR-V,18.59-26.39万,4.10万,1293667,,0,质保：三年或10万公里，两年或6万公里，2年或6万公里,环保标准：国V，国VI，国II，国IV(国V)，欧IV,4,2
2024年4月,紧凑型SUV,吉利几何M6,14.98-18.98万,4.00万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,领界,10.98-16.48万,4.00万,,4.64分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,紧凑型SUV,RAV4荣放双擎E+,24.88-29.68万,4.00万,,,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型SUV,领界EV,17.98-19.28万,3.90万,,4.62分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型SUV,柯珞克,14.99-15.89万,3.90万,,,0,质保：三年或10万公里,环保标准：国VI，国V,4,8
2024年4月,紧凑型SUV,本田CR-V新能源,22.59-26.99万,3.90万,,,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型SUV,星迈罗,13.99-16.49万,3.86万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,途胜,16.18-22.58万,3.80万,336750,4.71分,0,质保：两年或6万公里，五年或10万公里，2年或6万公里，三年或10万公里，可选:三年或15万公里/五年或10万公里/七年或7万公里,环保标准：国III，国VI，国IV(国V)，国V，国IV,6,2
2024年4月,紧凑型SUV,威兰达新能源,26.68-30.08万,3.60万,,,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型SUV,威兰达,17.38-26.48万,3.60万,,4.79分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,拿铁DHT,17.98-18.98万,3.50万,,4.73分,0,质保：五年或15万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,锐际,16.98-22.18万,3.50万,,4.69分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,紧凑型SUV,传祺GS4新能源,16.38-19.38万,3.23万,,,0,质保：三年或10万公里,环保标准：国VI，国V,2,2
2024年4月,紧凑型SUV,北京现代ix35,12.98-15.58万,3.00万,165658,,0,质保：五年或10万公里，三年或10万公里，两年或6万公里,环保标准：国IV+OBD，国V，国VI,5,2
2024年4月,紧凑型SUV,凯迪拉克XT4,22.97-28.67万,3.00万,,4.64分,0,质保：三年不限公里,环保标准：国VI,5,10
2024年4月,紧凑型SUV,长安CS75,10.29-11.99万,3.00万,1291316,4.66分,0,质保：三年或10万公里，三年或6万公里,环保标准：国V，国IV，国VI,5,2
2024年4月,紧凑型SUV,锐际新能源,21.00万,3.00万,,,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型SUV,赛图斯,10.99-15.99万,2.96万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,紧凑型SUV,欧尚Z6新能源,15.58-17.58万,2.90万,,,0,质保：三年或12万公里,环保标准：国VI,1,2
2024年4月,紧凑型SUV,思皓QX,10.19-19.69万,2.90万,,4.61分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,领克01,15.58-20.68万,2.90万,394969,4.64分,0,质保：四年或10万公里，不限年限或不限里程,环保标准：国VI，国V,5,10
2024年4月,紧凑型SUV,欧萌达,7.99-11.49万,2.80万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,智跑,13.98-15.78万,2.69万,171127,,0,质保：五年或10万公里，三年或5万公里,环保标准：国IV(国V)，国VI，国IV，国V,5,2
2024年4月,紧凑型SUV,卡罗拉锐放,12.98-18.48万,2.60万,,4.71分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,瑞虎7 PLUS新能源,12.99-16.69万,2.50万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,昂科拉PLUS,12.69-13.69万,2.50万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,荣威RX5 MAX,12.98-16.58万,2.50万,,4.74分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,红旗HS3,14.58-19.58万,2.50万,,,0,质保：暂无数据,环保标准：国VI,0,8
2024年4月,紧凑型SUV,北京X5,7.99-10.99万,2.50万,,,0,质保：五年或10万公里,环保标准：国V，国VI,5,2
2024年4月,紧凑型SUV,旭豹,19.98-23.08万,2.40万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,紧凑型SUV,冒险家,23.58-34.58万,2.40万,,4.69分,0,质保：五年或14万公里,环保标准：国VI,5,6
2024年4月,紧凑型SUV,锋兰达,12.58-18.48万,2.40万,,4.78分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,SWM斯威G01FF,9.59-12.98万,2.40万,,,0,质保：暂无数据,环保标准：国VI,5,2
2024年4月,紧凑型SUV,森林人,22.38-28.38万,2.40万,97195,,0,质保：三年或10万公里，两年或6万公里,环保标准：国IV(国V)，欧IV，国VI，国V，欧III,5,7
2024年4月,紧凑型SUV,马自达CX-5,12.58-21.08万,2.30万,330597,4.76分,0,质保：三年或10万公里,环保标准：国VI，国V，国IV(国V),5,2
